Film	Chapter	Character	Race	Words
The Two Towers	08: The Banishment of Éomer	Grima Wormtongue	Man	81
The Two Towers	08: The Banishment of Éomer	Theoden	Man	3
The Two Towers	09: On The Trail Of The Uruk-Hai	Gimli	Dwarf	6
The Two Towers	09: On The Trail Of The Uruk-Hai	Legolas	Elf	13
The Two Towers	10: Night Camp At Fangorn	Grishnakh	Orc	44
The Two Towers	10: Night Camp At Fangorn	Legolas	Elf	10
The Two Towers	10: Night Camp At Fangorn	Merry	Hobbit	68
The Two Towers	10: Night Camp At Fangorn	Orc	Orc	20
The Two Towers	10: Night Camp At Fangorn	Pippin	Hobbit	14
The Two Towers	10: Night Camp At Fangorn	Ugluk	Orc	33
The Two Towers	10: Night Camp At Fangorn	Uruk-hai	Orc	13
The Two Towers	11: The Riders Of Rohan	Aragorn	Man	68
The Two Towers	11: The Riders Of Rohan	Eomer	Man	156
The Two Towers	11: The Riders Of Rohan	Gimli	Dwarf	24
The Two Towers	11: The Riders Of Rohan	Legolas	Elf	7
The Two Towers	12: The Fate Of Merry And Pippin	Aragorn	Man	33
The Two Towers	12: The Fate Of Merry And Pippin	Gimli	Dwarf	16
The Two Towers	12: The Fate Of Merry And Pippin	Merry	Hobbit	3
The Two Towers	13: Treebeard	Grishnakh	Orc	18
The Two Towers	13: Treebeard	Merry	Hobbit	28
The Two Towers	13: Treebeard	Pippin	Hobbit	36
The Two Towers	14: The Passage Of The Marshes	Frodo	Hobbit	54
The Two Towers	14: The Passage Of The Marshes	Sam	Hobbit	69
The Two Towers	15: The White Rider	Aragorn	Man	68
The Two Towers	15: The White Rider	Gandalf	Wizard	298
The Two Towers	15: The White Rider	Gimli	Dwarf	73
The Two Towers	15: The White Rider	Legolas	Elf	63
The Two Towers	16: The Song Of The Entwives	Merry	Hobbit	4
The Two Towers	17: The Heir Of Númenor	Aragorn	Man	7
The Two Towers	17: The Heir Of Númenor	Gandalf	Wizard	226
The Two Towers	18: The Black Gate Is Closed	Frodo	Hobbit	39
The Two Towers	18: The Black Gate Is Closed	Sam	Hobbit	68
The Two Towers	19: Ent Draft	Merry	Hobbit	63
The Two Towers	19: Ent Draft	Pippin	Hobbit	122
The Two Towers	20: The King Of The Golden Hall	Aragorn	Man	18
The Two Towers	20: The King Of The Golden Hall	Eowyn	Man	28
The Two Towers	20: The King Of The Golden Hall	Gandalf	Wizard	151
The Two Towers	20: The King Of The Golden Hall	Gimli	Dwarf	15
The Two Towers	20: The King Of The Golden Hall	Grima Wormtongue	Man	166
The Two Towers	20: The King Of The Golden Hall	Hama	Man	21
The Two Towers	20: The King Of The Golden Hall	Theoden	Man	56
The Two Towers	21: The Funeral Of Théodred	Eowyn	Man	24
The Two Towers	22: Simbelmynë on the Burial Mounds	Gandalf	Wizard	28
The Two Towers	22: Simbelmynë on the Burial Mounds	Theoden	Man	55
The Two Towers	23: The King's Decision	Aragorn	Man	59
The Two Towers	23: The King's Decision	Eowyn	Man	24
The Two Towers	23: The King's Decision	Freda	Man	3
The Two Towers	23: The King's Decision	Gandalf	Wizard	165
The Two Towers	23: The King's Decision	Gimli	Dwarf	21
The Two Towers	23: The King's Decision	Hama	Man	29
The Two Towers	23: The King's Decision	Theoden	Man	49
The Two Towers	24: Brego	Aragorn	Man	22
The Two Towers	24: Brego	Eowyn	Man	36
The Two Towers	24: Brego	Rohan Warrior	Man	13
The Two Towers	25: The Ring Of Barahir	Grima Wormtongue	Man	51
The Two Towers	25: The Ring Of Barahir	Saruman	Wizard	68
The Two Towers	25: The Ring Of Barahir	Theoden	Man	18
The Two Towers	26: A Daughter Of Kings	Aragorn	Man	31
The Two Towers	26: A Daughter Of Kings	Eowyn	Man	45
The Two Towers	27: Exodus From Edoras	Grima Wormtongue	Man	52
The Two Towers	27: Exodus From Edoras	Saruman	Wizard	4
The Two Towers	28: The Forests Of Ithilien	Frodo	Hobbit	81
The Two Towers	28: The Forests Of Ithilien	Sam	Hobbit	87
The Two Towers	30: Of Herbs And Stewed Rabbit	Faramir	Man	76
The Two Towers	30: Of Herbs And Stewed Rabbit	Frodo	Hobbit	39
The Two Towers	30: Of Herbs And Stewed Rabbit	Sam	Hobbit	91
The Two Towers	31: Dwarf Women	Aragorn	Man	3
The Two Towers	31: Dwarf Women	Gimli	Dwarf	68
The Two Towers	32: One of the Dúnedain	Aragorn	Man	33
The Two Towers	32: One of the Dúnedain	Eowyn	Man	76
The Two Towers	32: One of the Dúnedain	Gimli	Dwarf	6
The Two Towers	32: One of the Dúnedain	Theoden	Man	59
The Two Towers	33: The Evenstar	Aragorn	Man	97
The Two Towers	33: The Evenstar	Arwen	Elf	119
The Two Towers	33: The Evenstar	Elrond	Elf	55
The Two Towers	33: The Evenstar	Eowyn	Man	11
The Two Towers	34: The Wolves Of Isengard	Aragorn	Man	9
The Two Towers	34: The Wolves Of Isengard	Eowyn	Man	10
The Two Towers	34: The Wolves Of Isengard	Gamling	Man	5
The Two Towers	34: The Wolves Of Isengard	Gimli	Dwarf	45
The Two Towers	34: The Wolves Of Isengard	Hama	Man	3
The Two Towers	34: The Wolves Of Isengard	Legolas	Elf	5
The Two Towers	34: The Wolves Of Isengard	Snaga	Orc	10
The Two Towers	34: The Wolves Of Isengard	Theoden	Man	50
The Two Towers	35: Helm's Deep	Eowyn	Man	22
The Two Towers	35: Helm's Deep	Freda	Man	1
The Two Towers	35: Helm's Deep	Gamling	Man	14
The Two Towers	35: Helm's Deep	Gimli	Dwarf	4
The Two Towers	35: Helm's Deep	Morwen	Man	2
The Two Towers	35: Helm's Deep	Rohan Maiden	Man	15
The Two Towers	35: Helm's Deep	Rohan Warrior	Man	22
The Two Towers	35: Helm's Deep	Theoden	Man	49
The Two Towers	36: Isengard Unleashed	Grima Wormtongue	Man	66
The Two Towers	36: Isengard Unleashed	Merry	Hobbit	8
The Two Towers	36: Isengard Unleashed	Pippin	Hobbit	9
The Two Towers	36: Isengard Unleashed	Saruman	Wizard	50
The Two Towers	37: The Grace Of The Valar	Arwen	Elf	8
The Two Towers	38: Arwen's Fate	Arwen	Elf	14
The Two Towers	38: Arwen's Fate	Elrond	Elf	188
The Two Towers	39: The Story Foreseen From Lórien	Galadriel	Elf	190
The Two Towers	40: The Windows On The West	Faramir	Man	143
The Two Towers	40: The Windows On The West	Frodo	Hobbit	75
The Two Towers	40: The Windows On The West	Gondor Man	Man	63
The Two Towers	40: The Windows On The West	Sam	Hobbit	8
The Two Towers	41: Sons Of The Steward	Boromir	Man	132
The Two Towers	41: Sons Of The Steward	Crowd	Man	6
The Two Towers	41: Sons Of The Steward	Denethor	Man	250
The Two Towers	41: Sons Of The Steward	Faramir	Man	35
The Two Towers	42: The Forbidden Pool	Faramir	Man	92
The Two Towers	42: The Forbidden Pool	Frodo	Hobbit	89
The Two Towers	42: The Forbidden Pool	Gondor Man	Man	16
The Two Towers	42: The Forbidden Pool	Sam	Hobbit	64
The Two Towers	43: Aragorn's Return	Aragorn	Man	69
The Two Towers	43: Aragorn's Return	Gamling	Man	9
The Two Towers	43: Aragorn's Return	Gimli	Dwarf	51
The Two Towers	43: Aragorn's Return	Legolas	Elf	5
The Two Towers	43: Aragorn's Return	Rohan Maiden	Man	2
The Two Towers	43: Aragorn's Return	Theoden	Man	206
The Two Towers	44: Entmoot	Merry	Hobbit	6
The Two Towers	45: The Glittering Caves	Aragorn	Man	78
The Two Towers	45: The Glittering Caves	Eowyn	Man	65
The Two Towers	45: The Glittering Caves	Gimli	Dwarf	13
The Two Towers	45: The Glittering Caves	Legolas	Elf	36
The Two Towers	45: The Glittering Caves	Rohan Warrior	Man	12
The Two Towers	46: Where Is The Horse And The Rider	Gamling	Man	30
The Two Towers	46: Where Is The Horse And The Rider	Theoden	Man	64
The Two Towers	47: Don't Be Hasty, Master Meriadoc!	Merry	Hobbit	18
The Two Towers	47: Don't Be Hasty, Master Meriadoc!	Pippin	Hobbit	7
The Two Towers	48: The Host Of The Eldar	Aragorn	Man	34
The Two Towers	48: The Host Of The Eldar	Gimli	Dwarf	14
The Two Towers	48: The Host Of The Eldar	Haldir	Elf	37
The Two Towers	48: The Host Of The Eldar	Haleth	Man	23
The Two Towers	48: The Host Of The Eldar	Legolas	Elf	24
The Two Towers	48: The Host Of The Eldar	Rohan Warrior	Man	17
The Two Towers	48: The Host Of The Eldar	Theoden	Man	4
The Two Towers	49: The Battle Of The Hornburg	Aragorn	Man	18
The Two Towers	49: The Battle Of The Hornburg	Gamling	Man	1
The Two Towers	49: The Battle Of The Hornburg	Gimli	Dwarf	50
The Two Towers	49: The Battle Of The Hornburg	Legolas	Elf	37
The Two Towers	49: The Battle Of The Hornburg	Rohan Warrior	Man	1
The Two Towers	49: The Battle Of The Hornburg	Theoden	Man	7
The Two Towers	50: Old Entish	Merry	Hobbit	30
The Two Towers	50: Old Entish	Pippin	Hobbit	5
The Two Towers	51: The Breach Of The Deeping Wall	Aragorn	Man	12
The Two Towers	51: The Breach Of The Deeping Wall	Gimli	Dwarf	6
The Two Towers	51: The Breach Of The Deeping Wall	Theoden	Man	17
The Two Towers	52: The Entmoot Decides	Merry	Hobbit	58
The Two Towers	52: The Entmoot Decides	Pippin	Hobbit	29
The Two Towers	53: The Retreat To The Hornburg	Aragorn	Man	31
The Two Towers	53: The Retreat To The Hornburg	Gamling	Man	6
The Two Towers	53: The Retreat To The Hornburg	Gimli	Dwarf	34
The Two Towers	53: The Retreat To The Hornburg	Legolas	Elf	1
The Two Towers	53: The Retreat To The Hornburg	Rohan Warrior	Man	22
The Two Towers	53: The Retreat To The Hornburg	Theoden	Man	58
The Two Towers	54: Master Peregrin's Plan	Merry	Hobbit	6
The Two Towers	54: Master Peregrin's Plan	Pippin	Hobbit	46
The Two Towers	55: Osgiliath	Faramir	Man	1
The Two Towers	55: Osgiliath	Frodo	Hobbit	23
The Two Towers	55: Osgiliath	Gondor Man	Man	6
The Two Towers	56: The Last March Of The Ents	Merry	Hobbit	5
The Two Towers	56: The Last March Of The Ents	Pippin	Hobbit	8
The Two Towers	57: The Nazgûl Attack	Faramir	Man	31
