# Program:featureCounts v1.4.4; Command:"featureCounts" "-a" "chr4.gtf" "-o" "counts.txt" "-t" "exon" "-g" "gene_name" "-T" "16" "trimmed_ctl1.fastq_tophat/accepted_hits.bam" "trimmed_ctl2.fastq_tophat/accepted_hits.bam" "trimmed_ctl3.fastq_tophat/accepted_hits.bam" "trimmed_uvb1.fastq_tophat/accepted_hits.bam" "trimmed_uvb2.fastq_tophat/accepted_hits.bam" "trimmed_uvb3.fastq_tophat/accepted_hits.bam" 
Geneid	Chr	Start	End	Strand	Length	trimmed_ctl1.fastq_tophat/accepted_hits.bam	trimmed_ctl2.fastq_tophat/accepted_hits.bam	trimmed_ctl3.fastq_tophat/accepted_hits.bam	trimmed_uvb1.fastq_tophat/accepted_hits.bam	trimmed_uvb2.fastq_tophat/accepted_hits.bam	trimmed_uvb3.fastq_tophat/accepted_hits.bam
FGFRL1	4;4;4;4;4;4;4;4;4	1009936;1010924;1011822;1012146;1022203;1023641;1023817;1024311;1024905	1010169;1011296;1011954;1012564;1022475;1023721;1024101;1024664;1026897	+;+;+;+;+;+;+;+;+	4145	0	0	0	0	0	0
RP11-460I19.2	4;4	1027678;1028807	1027783;1028972	+;+	272	0	0	0	0	0	0
RNF212	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1056250;1056838;1058321;1071478;1073599;1079643;1081419;1081567;1085710;1090782;1093308;1096463;1099716;1100913;1107252;1108343;1113356	1056503;1057004;1058427;1073193;1073754;1079688;1081467;1081957;1085954;1090838;1094014;1096839;1099927;1101069;1107344;1108404;1113562	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5003	0	0	0	0	0	0
RP11-20I20.1	4;4	1100016;1100708	1100368;1101558	-;-	1204	0	0	0	0	0	0
RP11-20I20.2	4;4;4	1113639;1132309;1132709	1113752;1132440;1132977	+;+;+	515	0	0	0	0	0	0
TMED11P	4;4;4;4;4	1115197;1116264;1117148;1123115;1153601	1115409;1116410;1117273;1123258;1153726	-;-;-;-;-	756	0	0	0	0	0	0
SNORA48	4	1118884	1119013	+	130	0	0	0	0	0	0
AC092535.3	4;4	1151372;1152589	1152423;1153701	+;+	2165	0	0	0	0	0	0
SPON2	4;4;4;4;4;4;4;4;4;4;4;4;4;4	1166932;1169763;1170999;1171263;1172544;1173080;1179448;1194990;1196827;1199028;1201269;1204982;1207880;1208576	1167656;1170576;1171190;1172298;1172873;1173211;1179541;1195139;1197132;1200047;1201462;1205116;1208377;1208962	-;-;-;-;-;-;-;-;-;-;-;-;-;-	6013	0	0	0	0	0	0
RP11-20I20.4	4	1167778	1168174	+	397	0	0	0	0	0	0
CTBP1	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1211448;1212913;1213478;1213991;1215991;1221458;1223420;1225351;1228199;1231108;1232888;1234687;1241325;1248661;1248916;1249649	1212426;1213050;1213754;1214473;1216407;1221839;1223512;1225566;1228343;1231144;1233224;1238337;1241923;1248740;1249137;1249953	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8361	0	0	0	0	0	0
CTBP1-AS2	4;4;4;4	1249300;1265340;1287605;1288026	1255910;1266163;1287723;1288291	+;+;+;+	7820	0	0	0	0	0	0
MAEA	4;4;4;4;4;4;4;4;4;4;4;4	1289851;1297956;1299530;1309443;1309787;1311979;1315397;1322381;1323495;1327627;1328634;1336861	1289982;1298115;1299969;1309712;1309996;1312586;1315600;1322503;1323608;1327703;1332865;1340147	+;+;+;+;+;+;+;+;+;+;+;+	9857	0	0	0	0	0	0
UVSSA	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1347266;1348090;1349524;1351715;1353030;1354507;1355007;1366077;1374907;1375364;1376034;1380047;1380641;1380880;1383766	1347887;1348189;1349854;1351835;1353413;1354847;1355245;1366431;1375279;1375508;1376168;1380230;1380747;1380988;1388049	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7830	0	0	0	0	0	0
AC078852.1	4;4	1356581;1357961	1356992;1358075	+;+	527	0	0	0	0	0	0
AC078852.2	4;4	1358479;1359106	1358563;1359461	+;+	441	0	0	0	0	0	0
CRIPAK	4	1391552	1395989	+	4438	0	0	0	0	0	0
NKX1-1	4;4	1402932;1405980	1403815;1406331	-;-	1236	0	0	0	0	0	0
RP13-1016M1.2	4	1550284	1550572	+	289	0	0	0	0	0	0
RP11-1398P2.1	4;4	1574062;1580158	1574544;1580253	-;-	579	0	0	0	0	0	0
FAM53A	4;4;4;4;4;4;4;4	1617915;1639881;1644189;1654978;1657408;1668667;1683694;1684233	1618111;1641607;1644953;1655723;1657468;1668905;1684127;1684302	-;-;-;-;-;-;-;-	4239	0	0	0	0	0	0
Y_RNA	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1683420;2615124;5426885;27223319;37699895;39710085;40826655;41303237;55501595;56818218;75662120;78632273;82944738;83636196;87743952;88330176;112755816;121329069;127028107;140779039;145149537;145958128;153266909;157768013;159064297;166312935;185415973;185709873;39441665;48153434;52786537;55412636;59533786;59833175;61906313;119947131;125362819;139200395;143309466;157064557	1683529;2615224;5426984;27223427;37700002;39710176;40826765;41303337;55501708;56818314;75662213;78632385;82944845;83636290;87744053;88330278;112755917;121329170;127028219;140779141;145149649;145958240;153267010;157768113;159064398;166313034;185416086;185709967;39441764;48153535;52786638;55412738;59533898;59833276;61906408;119947232;125362929;139200513;143309566;157064663	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+	4176	0	0	0	0	0	0
SLBP	4;4;4;4;4;4;4;4	1692800;1694774;1696202;1699564;1700011;1703596;1711874;1712130	1693713;1694840;1696351;1699701;1700091;1703700;1712018;1712555	-;-;-;-;-;-;-;-	2026	0	0	0	0	0	0
RP11-572O17.1	4	1712821	1713622	+	802	0	0	0	0	0	0
TMEM129	4;4;4;4;4;4	1715952;1717516;1718152;1718755;1718986;1720633	1717428;1717909;1718626;1718881;1719228;1721358	-;-;-;-;-;-	3442	0	0	0	0	0	0
TACC3	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1721490;1721785;1723110;1723421;1723702;1727708;1730388;1730803;1731172;1735273;1735731;1737241;1737598;1739345;1744439;1744712	1721643;1721916;1723222;1723583;1723870;1728787;1730388;1730962;1731301;1735325;1735834;1737328;1738350;1742121;1744624;1745176	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6528	0	0	0	0	0	0
FGFR3	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1793307;1793833;1799254;1799747;1801367;1801620;1801835;1802914;1803692;1804330;1805355;1805559;1805750;1806051;1806257;1806546;1806829;1807116	1793465;1794043;1799523;1799812;1801536;1801743;1802025;1803152;1803836;1804969;1805476;1805669;1805940;1806173;1806327;1806683;1806934;1808872	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4834	0	0	0	0	0	0
LETM1	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1811479;1815664;1816727;1819338;1822181;1822774;1823644;1825564;1832744;1833074;1836429;1839298;1841347;1843006;1846474;1849149;1855869	1814573;1815802;1816914;1819472;1822642;1823131;1823775;1825683;1832947;1834982;1836572;1839342;1841797;1843211;1846629;1849209;1856247	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8184	0	0	0	0	0	0
RN7SL671P	4	1869153	1869214	-	62	0	0	0	0	0	0
WHSC1	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1871424;1887501;1892166;1892782;1893730;1899218;1900619;1904216;1912091;1916871;1918141;1930626;1935144;1938451;1939281;1951072;1951999;1952752;1954537;1955161;1955579;1955983;1957933;1959471;1961035;1974787;1975294;1976353;1978638	1871542;1887690;1892263;1892891;1893909;1899395;1901251;1904378;1912194;1917037;1919187;1930770;1935262;1938532;1948818;1951203;1952231;1953524;1954685;1955340;1955849;1956188;1958036;1959740;1961151;1975004;1975646;1976679;1982207	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	19776	0	0	0	0	0	0
SCARNA22	4	1974636	1974760	+	125	0	0	0	0	0	0
NELFA	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1982714;1983596;1983848;1984808;1985776;1986114;1986272;1987501;1989708;1990418;1991544;1992403;2003838;2006998;2007963;2008750;2017665;2023405;2041716	1983503;1983695;1984113;1984919;1985864;1986183;1986560;1988007;1990054;1990501;1992244;1992624;2004150;2007199;2008046;2010110;2017742;2023536;2041903	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5935	0	0	0	0	0	0
MIR943	4	1986384	1986477	-	94	0	0	0	0	0	0
C4orf48	4;4;4;4	2041993;2042327;2042736;2043861	2042175;2042484;2042824;2043970	+;+;+;+	540	0	0	0	0	0	0
NAT8L	4;4;4	2059512;2060998;2063760	2059887;2061162;2069089	+;+;+	5871	0	0	0	0	0	0
POLN	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2071918;2072968;2075452;2076359;2076554;2078485;2081396;2082681;2085613;2090187;2095851;2128113;2129179;2131233;2156394;2157858;2159155;2170679;2171098;2173955;2174691;2176266;2179308;2193204;2198524;2207987;2213047;2229099;2231945;2241520;2242051	2072299;2073029;2075519;2076447;2077058;2081158;2081743;2083010;2085744;2090305;2095933;2128227;2129256;2131290;2156853;2157911;2159211;2170774;2171181;2174019;2174751;2176334;2179465;2193316;2198717;2208487;2213126;2229243;2232143;2241790;2242121	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7721	0	0	0	0	0	0
RP11-317B7.2	4	2088718	2090617	-	1900	0	0	0	0	0	0
RP11-317B7.3	4;4	2139673;2140827	2140021;2141058	+;+	581	0	0	0	0	0	0
HAUS3	4;4;4;4;4	2227464;2236228;2238604;2240038;2241520	2232160;2236456;2239043;2241093;2242164	-;-;-;-;-	7067	0	0	0	0	0	0
COX6B1P5	4	2234251	2234499	+	249	0	0	0	0	0	0
MXD4	4;4;4;4;4;4;4	2247432;2251084;2252408;2257982;2258885;2261725;2261917	2250701;2251246;2255351;2258011;2259057;2261824;2262294	-;-;-;-;-;-;-	7058	0	0	0	0	0	0
MIR4800	4	2250077	2250156	-	80	0	0	0	0	0	0
ZFYVE28	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2269582;2270918;2271675;2273173;2274062;2285343;2286423;2304289;2320170;2328534;2330162;2335705;2337407;2339453;2341316;2342581;2343309;2353933;2364486;2406543;2418285	2270856;2271414;2271779;2273289;2274216;2286121;2287715;2305536;2320271;2329142;2331048;2335794;2337496;2339655;2341615;2343203;2343524;2354073;2364877;2406665;2418663	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9624	0	0	0	0	0	0
RP11-478C1.7	4;4;4	2295584;2306891;2318997	2295845;2307098;2319089	+;+;+	563	0	0	0	0	0	0
RN7SL589P	4	2316197	2316506	-	310	0	0	0	0	0	0
RP11-478C1.8	4	2324467	2325082	+	616	0	0	0	0	0	0
RP11-503N18.1	4;4;4;4;4;4;4;4;4	2418974;2426459;2426704;2436874;2438070;2443130;2445131;2449667;2449934	2419093;2426586;2429245;2437018;2438164;2443242;2445308;2449750;2450360	+;+;+;+;+;+;+;+;+	3832	0	0	0	0	0	0
CFAP99	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2418974;2426459;2436874;2438070;2443130;2445131;2449670;2449934;2450947;2451264;2452142;2458723;2459107;2460037;2462443	2419093;2426586;2437018;2438164;2443242;2445308;2449750;2450005;2451018;2451352;2452346;2458864;2459258;2460242;2462963	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2319	0	0	0	0	0	0
RNF4	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2462220;2468729;2468937;2469453;2470987;2479853;2489811;2490337;2494564;2497007;2499337;2500659;2511956;2512438;2513083;2513670;2596084;2625262	2462605;2468927;2469258;2470042;2471109;2481210;2489905;2490798;2494752;2497300;2499419;2500748;2512334;2512597;2513131;2515855;2596329;2625320	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7270	0	0	0	0	0	0
RP11-503N18.4	4;4	2463797;2463973	2463864;2464124	+;+	220	0	0	0	0	0	0
RP11-503N18.5	4;4	2505081;2505631	2505331;2506279	-;-	900	0	0	0	0	0	0
WI2-89927D4.1	4	2607870	2608146	-	277	0	0	0	0	0	0
FAM193A	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2625261;2625432;2626410;2630935;2639735;2646685;2654421;2657803;2659558;2659812;2662838;2672121;2689506;2690698;2693586;2694946;2696274;2699680;2708146;2715322;2716023;2719980;2731775	2625395;2625544;2626577;2631169;2639859;2646832;2655129;2657880;2659670;2660054;2663288;2672372;2689704;2690970;2693874;2695142;2696593;2700544;2708268;2715493;2716104;2720072;2732565	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6174	0	0	0	0	0	0
TNIP2	4;4;4;4;4;4	2741648;2744387;2745336;2746029;2747450;2755949	2742520;2744945;2745535;2746158;2747945;2756376	-;-;-;-;-;-	2686	0	0	0	0	0	0
SH3BP2	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2793023;2793724;2794159;2796374;2798564;2798998;2809779;2811798;2811930;2812219;2814811;2817819;2818716;2820614;2822935;2823395;2824613;2826325;2827606;2829493;2831571;2831923;2832990	2793138;2793757;2794262;2796646;2798599;2799305;2809829;2811899;2812124;2812477;2814917;2818390;2819070;2820753;2823037;2823573;2825220;2827318;2827674;2830147;2831679;2832412;2841098	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13968	0	0	0	0	0	0
ADD1	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2843857;2844150;2853134;2853624;2854854;2867875;2875896;2881600;2884515;2887504;2894013;2894582;2898184;2904664;2907204;2908515;2914705;2926014;2926285;2928171	2844024;2844834;2853203;2853698;2855029;2868129;2876405;2882060;2884666;2887720;2894093;2894733;2902914;2905721;2907844;2909431;2915040;2926137;2926675;2930076	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13106	0	0	0	0	0	0
MFSD10	4;4;4;4;4;4;4	2930561;2931375;2932351;2932600;2933567;2933753;2934769	2931274;2932153;2932512;2933209;2933663;2934458;2934859	-;-;-;-;-;-;-	3159	0	0	0	0	0	0
NOP14-AS1	4;4;4;4;4;4	2934899;2938693;2940302;2946873;2950153;2961354	2938142;2938792;2942051;2947673;2951067;2961738	+;+;+;+;+;+	7195	0	0	0	0	0	0
NOP14	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2937933;2939188;2939527;2941582;2942192;2944073;2945128;2946412;2947526;2948278;2949934;2951114;2952275;2953511;2954424;2956670;2957606;2963125	2938930;2939343;2939645;2941729;2942351;2944226;2945229;2946547;2947611;2948408;2950213;2951245;2952397;2953645;2954563;2956811;2957740;2963385	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3538	0	0	0	0	0	0
GRK4	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2963608;2965243;2969169;2970948;2984513;2988727;2992215;3004231;3007736;3009648;3013688;3019641;3022412;3027911;3029201;3035386;3037374;3038376;3038624;3040572	2964122;2966889;2969317;2971192;2984608;2988839;2992292;3004334;3007828;3009711;3013828;3019831;3022451;3028001;3029409;3035523;3037511;3038578;3038878;3040747	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4686	0	0	0	0	0	0
AL390065.1	4	2981427	2981512	-	86	0	0	0	0	0	0
RNU6-204P	4	3044101	3044207	+	107	0	0	0	0	0	0
HTT-AS	4;4;4	3063471;3069978;3074426	3063700;3070173;3074514	-;-;-	515	0	0	0	0	0	0
HTT-AS1_1	4	3063472	3063701	+	230	0	0	0	0	0	0
HTT-AS1_2	4	3069977	3070151	+	175	0	0	0	0	0	0
HTT	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	3074681;3086939;3099274;3103824;3105357;3107285;3115304;3116085;3121228;3122889;3125549;3127264;3128339;3131286;3131638;3132562;3132814;3134401;3135904;3136226;3140510;3142766;3145152;3146797;3148005;3154293;3157072;3160282;3172320;3172908;3174721;3174946;3177332;3178298;3180515;3182354;3186597;3187651;3199732;3203006;3204007;3206496;3206807;3207281;3208773;3209827;3211912;3212564;3213958;3215110;3217765;3220182;3222387;3223406;3223992;3225661;3228615;3229887;3233163;3235284;3235424;3236149;3238447;3238818;3239846	3075088;3087022;3099394;3103883;3105436;3107423;3115445;3116263;3121712;3123466;3125629;3127604;3130423;3131397;3131775;3132720;3132911;3134540;3135967;3136326;3140656;3142886;3145228;3146948;3148207;3154419;3157199;3160392;3172397;3173227;3174799;3175107;3177387;3178446;3180794;3182470;3186719;3189093;3199939;3203066;3204148;3206675;3206983;3207357;3208911;3209949;3212142;3213055;3214135;3215211;3217952;3220308;3222487;3223560;3224131;3225743;3229009;3230042;3233353;3235398;3235778;3236254;3238609;3238978;3243959	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	18128	0	0	0	0	0	0
MSANTD1	4;4;4;4;4;4;4;4;4;4	3244369;3245002;3246590;3247476;3253207;3255725;3261332;3263885;3267760;3269800	3244724;3245423;3246670;3249542;3253482;3256613;3262541;3264061;3267895;3271738	+;+;+;+;+;+;+;+;+;+	7553	0	0	0	0	0	0
RGS12	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	3293028;3314147;3316068;3342415;3342937;3369879;3378170;3385146;3385604;3385681;3385971;3412986;3415978;3416913;3417370;3420388;3422376;3422905;3423515;3425446;3426606;3428089;3430407;3439455	3293099;3314949;3318051;3342578;3343189;3370321;3378591;3385424;3385651;3385816;3386437;3414844;3416121;3417092;3419510;3420718;3422570;3422978;3423865;3425560;3426754;3428711;3432250;3439913	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13536	0	0	0	0	0	0
RP11-357G3.2	4	3312512	3313058	+	547	0	0	0	0	0	0
RP11-357G3.1	4	3323977	3324762	-	786	0	0	0	0	0	0
HGFAC	4;4;4;4;4;4;4;4;4;4;4;4;4;4	3441887;3442732;3443050;3443341;3444039;3444311;3444623;3444819;3445265;3445900;3447492;3447895;3448128;3449237	3442118;3442912;3443146;3443420;3444161;3444442;3444733;3444993;3445896;3446294;3447631;3448035;3448276;3449495	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2847	0	0	0	0	0	0
DOK7	4;4;4;4;4;4;4;4;4;4;4	3463311;3463506;3473406;3476342;3484544;3485349;3489677;3492759;3496820;3500251;3500692	3463429;3463551;3473636;3476543;3484843;3485658;3489796;3494483;3496862;3500403;3501473	+;+;+;+;+;+;+;+;+;+;+	4031	0	0	0	0	0	0
RP11-529E10.6	4	3503597	3504457	-	861	0	0	0	0	0	0
